_id,addTurbine,changedPower,changedSimSpeed,changedWind,correctPower,powerStats.correct,powerStats.medianTimeOnTask,powerStats.over,powerStats.under,repairedTurbine,turbineOnOff,userId
ObjectId(5a7a4235907a2e50714dbd29),true,false,false,false,,,,,,false,false,ff3ad805-f580-d7b0-6f65-4110ef0a8662
ObjectId(5a7a4235907a2e50714dbd2a),true,false,false,false,,,,,,false,false,c486771f-8d30-e9e7-0eaf-693d0712cd0c
ObjectId(5a7a4235907a2e50714dbd2b),true,false,false,false,,,,,,false,false,e9cbafd2-e6d2-2bf5-1d08-db3d95bba46f
ObjectId(5a7a4235907a2e50714dbd2c),true,false,false,false,,,,,,false,false,13d5c636-a6d4-4e80-9bfa-2551496df819
ObjectId(5a7a4235907a2e50714dbd2d),false,false,false,false,,,,,,false,false,2ddbb3dc-0b10-9f5a-a09a-b60af121b680
ObjectId(5a7a4235907a2e50714dbd2e),false,false,false,false,,,,,,false,false,3be78fe8-a5cb-526b-90a6-aa9c98717c4a
ObjectId(5a7a4235907a2e50714dbd2f),false,false,false,false,,,,,,false,false,8f245beb-3e05-27b1-f562-58b2e85690e4
ObjectId(5a7a4235907a2e50714dbd30),false,false,false,false,,,,,,false,false,cc313d4a-0569-4779-a74a-c91912a61b3b
ObjectId(5a7a4235907a2e50714dbd31),false,false,false,false,,,,,,false,false,d1f2946d-d7ae-7d56-18a9-6b8a37356aaa
ObjectId(5a7a4235907a2e50714dbd32),false,false,false,false,,,,,,false,false,42435285-2bbc-28bc-bcf6-74b176222946
ObjectId(5a7a4235907a2e50714dbd33),false,false,false,false,,,,,,false,false,43fd5bc4-e69b-9a6d-93b5-07bca610cbef
ObjectId(5a7a4235907a2e50714dbd34),false,false,false,false,,,,,,false,false,5ccd5d9d-3adf-3d3f-28e3-01145027a2a4
ObjectId(5a7a4235907a2e50714dbd35),false,false,false,false,,,,,,false,false,acd9f0af-9387-f7b0-efa7-a12b59de9c58
ObjectId(5a7a4235907a2e50714dbd36),true,false,false,false,,,,,,false,false,c379355c-30ef-cb00-5d73-c017b48d5b8f
ObjectId(5a7a4235907a2e50714dbd37),true,true,true,true,true,0.011532125205930808,7,0.19439868204283361,0.7940691927512356,false,false,988c24ba-ce5a-8694-3880-921d8900c53f
