_id,state.environment,state.map,state.turbine,state.binary,results.profit,changedSimSpeed,correctPower,results.correct,results.medianTimeOnTask,results.over,results.under,results.score,repairedTurbine,turbineOnOff,results.name,userId
ObjectId(5a9670c9907a2e77c94ab9d9),mountains,,,"0,0,1,0,0,,",,false,false,,,,,,false,true,,796d76fd37612178bb7b8a4c0448a744957711c2
ObjectId(5a9670c9907a2e77c94ab9da),,,,",,",,false,false,,,,,,false,false,,6ff671b0f284c81f6aa865f9b456f70494aeff32
ObjectId(5a9670c9907a2e77c94ab9db),mountains,1,B,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.5,0.5",,false,false,,,,,,false,true,,7ba6eee9596cb0903c0c30d3072191a1c2428ce4
ObjectId(5a9670c9907a2e77c94ab9dc),,2,F,",0,0,0,0,0,0,0,0,1,0,0,0,0,0.105263157894737,0",,false,false,,,,,,false,false,,4589a3efd0b4900f4325ba231b706f951293588f
ObjectId(5a9670c9907a2e77c94ab9dd),mountains,1,B,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.5,0.5",true,false,true,0,21,33.333336666666334,66.66666333333366,10,false,true,DFGSFDHG,f6e12e1a232d4db7d6380229b48e63add2a51674
ObjectId(5a9670c9907a2e77c94ab9de),seashore,2,G,"0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.41747572815534,0.973684210526316,0.75",,false,false,,,,,,false,true,,2ccee1fcef064d6ffd2470335d8961a8c13ca4b7
ObjectId(5a9670c9907a2e77c94ab9df),fields,4,E,"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.223300970873786,0.5,0.25",false,false,false,18.18182,15,0,81.81818,10,false,true,SDASF4234,f0cc1f9ed95179027610a2b9c77654ff9c36791f
ObjectId(5a9670c9907a2e77c94ab9e0),mountains,,,"0,0,1,0,0,,",false,false,false,0,0,0,100,6,false,true,SADF,e3a4021873c839d48518fa767eb5d2708d8b88c3
ObjectId(5a9670c9907a2e77c94ab9e1),fields,2,,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,",false,false,false,0,0,0,100,8,false,true,MARC,182e9023ce6e8f812d2f58457b042089cd34d63f
ObjectId(5a9670c9907a2e77c94ab9e2),mountains,,A,"0,0,1,0,0,,0,0,1,1,1",false,false,false,0,0,0,100,,false,true,DGSDG,f848876dc9e5ff7751dfbf906c7ca3c630d7fff9
ObjectId(5a9670c9907a2e77c94ab9e3),mountains,2,D,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.41747572815534,0.5,0.5",true,false,true,16.666668333333167,11,49.999995000000496,33.333336666666334,8,false,true,QWEQWE,6672f89643b6c06ab2c9eb51058169ba404cc390
ObjectId(5a9670c9907a2e77c94ab9e4),seashore,3,G,"0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.41747572815534,0.973684210526316,0.75",true,true,false,0,10,0,100,8,true,true,DFHDFH,04038ff42e350812f8ff3c917e6a853853d97a40
ObjectId(5a9670c9907a2e77c94ab9e5),,2,B,",0,0,0,0,0,0,0,0,1,0,0,0,0.41747572815534,0.5,0.5",,false,false,0,0,0,100,6,false,true,ASFASF234235,a24ec9e38e90803e43ff0cdee415ed240557cded
ObjectId(5a9670c9907a2e77c94ab9e6),mountains,2,A,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1",false,false,false,0,0,0,100,9,false,true,DSG,771692c7f2b3962e344fd347e730892a44a14da7
ObjectId(5a9670c9907a2e77c94ab9e7),fields,2,,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,",,false,false,,,,,,false,false,,e5d0d114f0a621a2ff7354ef3732b77e6503bbaa
ObjectId(5a9670c9907a2e77c94ab9e8),mountains,4,I,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.105263157894737,0",false,false,false,0,6,0,100,,false,true,ASFASFSDA,2adb82c02b172266b59e2e2ce25d015327216802
ObjectId(5a9670c9907a2e77c94ab9e9),seashore,,I,"0,0,0,1,0,,0,0,0,0.105263157894737,0",,false,false,,,,,,false,false,,13a5e62411636fc31d6681e266b2e6fe08f99bf9
ObjectId(5a9670c9907a2e77c94ab9ea),mountains,1,G,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.973684210526316,0.75",false,false,false,0,0,0,100,8,false,true,DSGS,82b70a8d5d1850f5fc996ab7b46cd2184b62990c
ObjectId(5a9670c9907a2e77c94ab9eb),seashore,7,I,"0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.105263157894737,0",false,false,false,0,43,0,100,6,false,true,ASFASF,352eb6e217128464e71bedc124afe1a22e4073d8
