"bonding"	"naming"	"organic"	"wind"
"add.bonding"	413	0	0	0
"add.turbine"	0	0	0	2883
"check"	0	16	0	0
"check.bond"	104	0	0	0
"check.bond_type"	67	0	0	0
"check.electrons"	78	0	0	0
"check.table"	116	0	0	0
"choose.molecule"	0	0	14	0
"click.simulation_speed"	0	0	0	363
"configure.close"	0	0	0	131
"configure.open"	0	0	0	89
"configure.power"	0	0	0	260
"configure.simulation_speed"	0	0	0	130
"configure.wind_speed"	0	0	0	262
"disable.turbine"	0	0	0	521
"drop"	0	64	0	0
"drop.mol_structure"	0	0	200	0
"enable.turbine"	0	0	0	440
"end.simulation"	0	0	0	15549
"finish.lab"	30	0	0	0
"game.state"	0	0	0	17380
"group"	0	0	0	75
"gtm.dom"	42	39	47	43
"gtm.js"	48	39	47	43
"gtm.load"	42	39	47	43
"help.electrons"	18	0	0	0
"help.periodic_table"	11	0	0	0
"identify"	0	0	0	188
"launch"	53	12	17	730
"pause.simulation"	0	0	0	212
"remove.electron"	49	0	0	0
"remove.element"	47	0	0	0
"remove.turbine"	0	0	0	1383
"repair.turbine"	0	0	0	169
"reset"	0	16	0	0
"reset.electrons"	21	0	0	0
"reset.simulation"	0	0	0	269
"reset.table"	59	0	0	0
"restart"	0	0	4	0
"restart.lab"	29	0	0	0
"resume.simulation"	0	0	0	17
"select.compound"	0	0	23	0
"select.functional_group"	0	0	23	0
"select.mol_structure"	0	0	11	0
"select.molecule"	59	19	17	0
"set.electron"	580	0	0	0
"show.statistics"	0	0	0	33
"start"	0	31	48	0
"start.lab"	70	0	0	0
"start.simulation"	0	0	0	738
"view.configuration"	0	0	0	1205
"view.home"	0	0	0	137
"view.instructions"	0	0	0	356
"view.show_pie_charts"	0	0	0	155
"view.show_power_output_report"	0	0	0	736
"view.show_values_for_current_hour"	0	0	0	330
