"event"	"event_id"	"event_value"
"add.bonding"	NA	NA
"add.bonding"	"element"	"Ca"
"add.bonding"	"element"	"Na"
"add.bonding"	"element"	"H"
"add.bonding"	"element"	"O"
"add.bonding"	"number"	"4"
"add.bonding"	"element"	"F"
"add.bonding"	"element"	"Cl"
"add.bonding"	"number"	"2"
"add.bonding"	"element"	"C"
"add.bonding"	"number"	"3"
"add.bonding"	"element"	"K"
"add.bonding"	"element"	"Br"
"check.bond"	NA	NA
"check.bond"	"HCl"	"0"
"check.bond"	"HCl"	"1"
"check.bond"	"H2O"	"1"
"check.bond"	"H2O"	"0"
"check.bond"	"CaCl2"	"0"
"check.bond"	"CaCl2"	"1"
"check.bond"	"KBr"	"0"
"check.bond"	"KBr"	"1"
"check.bond"	"NaF"	"1"
"check.bond"	"CH4"	"0"
"check.bond"	"CF4"	"0"
"check.bond"	"CH4"	"1"
"check.bond"	"NaCl"	"1"
"check.bond"	"CF4"	"1"
"check.bond"	"NaCl"	"0"
"check.bond"	"NaF"	"0"
"check.bond_type"	NA	NA
"check.bond_type"	"HCl"	"0"
"check.bond_type"	"H2O"	"0"
"check.bond_type"	"NaF"	"1"
"check.bond_type"	"NaCl"	"1"
"check.bond_type"	"KBr"	"1"
"check.bond_type"	"CH4"	"0"
"check.bond_type"	"CF4"	"0"
"check.bond_type"	"CaCl2"	"1"
"check.bond_type"	"CaCl2"	"0"
"check.bond_type"	"HCl"	"1"
"check.bond_type"	"NaCl"	"0"
"check.bond_type"	"H2O"	"1"
"check.electrons"	NA	NA
"check.electrons"	"HCl"	"blue"
"check.electrons"	"H2O"	"blue"
"check.electrons"	"H2O"	"red"
"check.electrons"	"NaCl"	"blue"
"check.electrons"	"CH4"	"blue"
"check.electrons"	"CaCl2"	"red"
"check.electrons"	"CaCl2"	"18"
"check.electrons"	"KBr"	"blue"
"check.electrons"	"NaF"	"blue"
"check.electrons"	"CF4"	"blue"
"check.electrons"	"HCl"	"18"
"check.electrons"	"NaCl"	"red"
"check.electrons"	"CH4"	"red"
"check.electrons"	"KBr"	"red"
"check.electrons"	"HCl"	"red"
"check.electrons"	"CF4"	"red"
"check.electrons"	"CaCl2"	"blue"
"check.electrons"	"H2O"	"0"
"check.table"	NA	NA
"check.table"	"HCl"	"0"
"check.table"	"HCl"	"1"
"check.table"	"H2O"	"1"
"check.table"	"H2O"	"0"
"check.table"	"KBr"	"1"
"check.table"	"CF4"	"0"
"check.table"	"CF4"	"1"
"check.table"	"CaCl2"	"0"
"check.table"	"CaCl2"	"1"
"check.table"	"KBr"	"0"
"check.table"	"CH4"	"0"
"check.table"	"CH4"	"1"
"check.table"	"NaCl"	"1"
