"event"	"event_id"	"event_value"
"add.turbine"	NA	NA
"add.turbine"	"[object Object]"	NA
"add.turbine"	"fast_speed"	NA
"add.turbine"	"warp_speed"	NA
"add.turbine"	"normal_speed"	NA
"click.simulation_speed"	NA	NA
"click.simulation_speed"	"[object Object]"	NA
"click.simulation_speed"	"normal_speed"	NA
"click.simulation_speed"	"fast_speed"	NA
"click.simulation_speed"	"warp_speed"	NA
"configure.close"	NA	NA
"configure.close"	"CloseConfigurationPanel"	NA
"configure.open"	NA	NA
"configure.open"	"OpenConfigurationPanel"	NA
"configure.power"	"min"	"1000"
"configure.power"	"max"	"24000"
"configure.power"	"min"	"10561"
"configure.power"	"max"	"23489"
"configure.power"	"max"	"18037"
"configure.power"	"min"	"23489"
"configure.power"	"min"	"12370"
"configure.power"	"min"	"12682"
"configure.power"	"max"	"19016"
"configure.power"	"min"	"4271"
"configure.power"	"max"	"15901"
"configure.power"	"min"	"4738"
"configure.power"	"max"	"14966"
"configure.power"	"min"	"6451"
"configure.power"	"max"	"18860"
"configure.power"	"min"	"11747"
"configure.power"	"min"	"24000"
"configure.power"	"max"	"9670"
"configure.power"	"max"	"1000"
"configure.power"	"max"	"5205"
"configure.simulation_speed"	NA	"1"
"configure.simulation_speed"	NA	"4"
"configure.simulation_speed"	NA	"3"
"configure.wind_speed"	"max"	"18"
"configure.wind_speed"	"min"	"4"
"configure.wind_speed"	"min"	"5"
"configure.wind_speed"	"max"	"6"
"configure.wind_speed"	"max"	"20"
"configure.wind_speed"	"min"	"13"
"configure.wind_speed"	"max"	"2"
"configure.wind_speed"	"min"	"2"
"configure.wind_speed"	"min"	"8"
"configure.wind_speed"	"max"	"15"
"configure.wind_speed"	"min"	"0"
"configure.wind_speed"	"min"	"16"
"configure.wind_speed"	"min"	"6"
"configure.wind_speed"	"min"	"18"
"configure.wind_speed"	"min"	"14"
"configure.wind_speed"	"min"	"20"
"configure.wind_speed"	"min"	"12"
"configure.wind_speed"	"max"	"19"
"configure.wind_speed"	"min"	"1"
"configure.wind_speed"	"min"	"11"
"configure.wind_speed"	"max"	"12"
"configure.wind_speed"	"max"	"7"
"configure.wind_speed"	"max"	"10"
"disable.turbine"	NA	NA
"enable.turbine"	NA	NA
"end.simulation"	NA	NA
