_id,addTurbine,changedPower,changedSimSpeed,changedWind,correctPower,powerStats.correct,powerStats.medianTimeOnTask,powerStats.over,powerStats.under,repairedTurbine,turbineOnOff,userId
ObjectId(5a4ab25e3a1bab5bf9fc29a1),false,false,false,false,,,,,,false,false,1136413853.1483138740
ObjectId(5a4ab25e3a1bab5bf9fc29a2),false,false,false,false,,,,,,false,false,1502460761.1483381881
ObjectId(5a4ab25e3a1bab5bf9fc29a3),false,false,false,false,,,,,,false,false,1018258710.1484143172
ObjectId(5a4ab25e3a1bab5bf9fc29a4),true,false,false,false,,,,,,false,false,1315518581.1484141667
ObjectId(5a4ab25e3a1bab5bf9fc29a5),false,false,false,false,,,,,,false,false,1333641917.1484138557
ObjectId(5a4ab25e3a1bab5bf9fc29a6),true,false,false,false,,,,,,false,false,1726714213.1484143309
ObjectId(5a4ab25e3a1bab5bf9fc29a7),true,false,false,false,,,,,,false,false,1815103822.1465797081
ObjectId(5a4ab25e3a1bab5bf9fc29a8),false,false,false,false,,,,,,false,false,310542530.1473592786
ObjectId(5a4ab25e3a1bab5bf9fc29a9),false,false,false,false,,,,,,false,false,367348722.1484141715
ObjectId(5a4ab25e3a1bab5bf9fc29aa),true,false,false,false,,,,,,false,false,467552098.1484144500
ObjectId(5a4ab25e3a1bab5bf9fc29ab),false,false,false,false,,,,,,false,false,588220086.1484142300
ObjectId(5a4ab25e3a1bab5bf9fc29ac),true,false,false,false,,,,,,false,false,981906019.1484142500
ObjectId(5a4ab25e3a1bab5bf9fc29ad),false,false,false,false,,,,,,false,false,1499245900.1482624000
ObjectId(5a4ab25e3a1bab5bf9fc29ae),true,false,false,false,,,,,,false,false,1502598412.1484334602
ObjectId(5a4ab25e3a1bab5bf9fc29af),false,false,false,false,,,,,,false,false,1911454640.1481136850
ObjectId(5a4ab25e3a1bab5bf9fc29b0),true,false,false,false,,,,,,false,false,417643969.1424247462
ObjectId(5a4ab25e3a1bab5bf9fc29b1),false,false,false,false,,,,,,false,false,805723453.1484405572
ObjectId(5a4ab25e3a1bab5bf9fc29b2),false,false,false,false,,,,,,false,false,1761506108.1484506957
ObjectId(5a4ab25e3a1bab5bf9fc29b3),false,false,false,false,,,,,,false,false,1888619492.1484576890
ObjectId(5a4ab25e3a1bab5bf9fc29b4),false,false,false,false,,,,,,false,false,1627152026.1484676428
ObjectId(5a4ab25e3a1bab5bf9fc29b5),false,false,false,false,,,,,,false,false,2103280591.1483950487
ObjectId(5a4ab25e3a1bab5bf9fc29b6),true,false,false,false,,,,,,false,false,2139110781.1472803131
ObjectId(5a4ab25e3a1bab5bf9fc29b7),true,false,false,false,,,,,,false,false,260081678.1484763904
ObjectId(5a4ab25e3a1bab5bf9fc29b8),true,false,false,false,,,,,,false,false,622376622.1476176405
ObjectId(5a4ab25e3a1bab5bf9fc29b9),true,false,false,false,,,,,,false,false,652902932.1484718195
ObjectId(5a4ab25e3a1bab5bf9fc29ba),true,false,false,false,,,,,,false,false,538997118.1484817116
ObjectId(5a4ab25e3a1bab5bf9fc29bb),true,false,false,false,,,,,,false,false,1266957680.1481169135
ObjectId(5a4ab25e3a1bab5bf9fc29bc),true,false,false,false,,,,,,false,false,1242174926.1485010487
ObjectId(5a4ab25e3a1bab5bf9fc29bd),false,false,false,false,,,,,,false,false,721919283.1485085233
ObjectId(5a4ab25e3a1bab5bf9fc29be),false,false,false,false,,,,,,false,false,1200659761.1482136324
ObjectId(5a4ab25e3a1bab5bf9fc29bf),false,false,false,false,,,,,,false,false,1241421098.1485166502
ObjectId(5a4ab25e3a1bab5bf9fc29c0),false,false,false,false,,,,,,false,false,1474054703.1485198026
ObjectId(5a4ab25e3a1bab5bf9fc29c1),true,false,false,false,,,,,,false,false,1936080288.1485137177
ObjectId(5a4ab25e3a1bab5bf9fc29c2),true,false,false,false,,,,,,false,false,535184339.1485166223
ObjectId(5a4ab25e3a1bab5bf9fc29c3),false,false,false,false,,,,,,false,false,882063407.1485166068
