"_id",addTurbine,changedPower,changedSimSpeed,changedWind,correctPower,powerStats.correct,powerStats.medianTimeOnTask,powerStats.over,powerStats.under,repairedTurbine,turbineOnOff,userId
5a00fcaa3a1babbf737c200f,false,false,false,false,,,,,,false,false,1136413853.1483138740
5a00fcaa3a1babbf737c2010,false,false,false,false,,,,,,false,false,1502460761.1483381881
5a00fcaa3a1babbf737c2011,false,false,false,false,,,,,,false,false,1018258710.1484143172
5a00fcaa3a1babbf737c2012,true,false,false,false,,,,,,false,false,1315518581.1484141667
5a00fcaa3a1babbf737c2013,false,false,false,false,,,,,,false,false,1333641917.1484138557
5a00fcaa3a1babbf737c2014,true,false,false,false,,,,,,false,false,1726714213.1484143309
5a00fcaa3a1babbf737c2015,true,false,false,false,,,,,,false,false,1815103822.1465797081
5a00fcaa3a1babbf737c2016,false,false,false,false,,,,,,false,false,310542530.1473592786
5a00fcaa3a1babbf737c2017,false,false,false,false,,,,,,false,false,367348722.1484141715
5a00fcaa3a1babbf737c2018,true,false,false,false,,,,,,false,false,467552098.1484144500
5a00fcaa3a1babbf737c2019,false,false,false,false,,,,,,false,false,588220086.1484142300
5a00fcaa3a1babbf737c201a,true,false,false,false,,,,,,false,false,981906019.1484142500
5a00fcaa3a1babbf737c201b,false,false,false,false,,,,,,false,false,1499245900.1482624000
5a00fcaa3a1babbf737c201c,true,false,false,false,,,,,,false,false,1502598412.1484334602
5a00fcaa3a1babbf737c201d,false,false,false,false,,,,,,false,false,1911454640.1481136850
5a00fcaa3a1babbf737c201e,true,false,false,false,,,,,,false,false,417643969.1424247462
5a00fcaa3a1babbf737c201f,false,false,false,false,,,,,,false,false,805723453.1484405572
5a00fcaa3a1babbf737c2020,false,false,false,false,,,,,,false,false,1761506108.1484506957
5a00fcaa3a1babbf737c2021,false,false,false,false,,,,,,false,false,1888619492.1484576890
5a00fcaa3a1babbf737c2022,false,false,false,false,,,,,,false,false,1627152026.1484676428
5a00fcaa3a1babbf737c2023,false,false,false,false,,,,,,false,false,2103280591.1483950487
5a00fcaa3a1babbf737c2024,true,false,false,false,,,,,,false,false,2139110781.1472803131
5a00fcaa3a1babbf737c2025,true,false,false,false,,,,,,false,false,260081678.1484763904
5a00fcaa3a1babbf737c2026,true,false,false,false,,,,,,false,false,622376622.1476176405
5a00fcaa3a1babbf737c2027,true,false,false,false,,,,,,false,false,652902932.1484718195
5a00fcaa3a1babbf737c2028,true,false,false,false,,,,,,false,false,538997118.1484817116
5a00fcaa3a1babbf737c2029,true,false,false,false,,,,,,false,false,1266957680.1481169135
5a00fcaa3a1babbf737c202a,true,false,false,false,,,,,,false,false,1242174926.1485010487
5a00fcaa3a1babbf737c202b,false,false,false,false,,,,,,false,false,721919283.1485085233
5a00fcaa3a1babbf737c202c,false,false,false,false,,,,,,false,false,1200659761.1482136324
5a00fcaa3a1babbf737c202d,false,false,false,false,,,,,,false,false,1241421098.1485166502
