"event"	"event_id"	"event_value"
"choose.molecule"	"Benzene"	NA
"choose.molecule"	"Methane"	NA
"choose.molecule"	"Ethylmethylether"	NA
"choose.molecule"	"Ethanol"	NA
"choose.molecule"	"Ethylbutanoate"	"true"
"choose.molecule"	"Hex-2-yne"	"true"
"choose.molecule"	"Methanol"	NA
"choose.molecule"	"Methanol"	"true"
"drop.mol_structure"	"Methane"	"true"
"drop.mol_structure"	"Ethylmethylether"	"true"
"drop.mol_structure"	"Ethanol"	"true"
"drop.mol_structure"	"Benzene"	"true"
"drop.mol_structure"	"Ethylbutanoate"	"true"
"drop.mol_structure"	"Hex-2-yne"	"true"
"gtm.dom"	NA	NA
"gtm.js"	NA	NA
"gtm.load"	NA	NA
"launch"	NA	NA
"restart"	"Hex-2-yne"	"true"
"restart"	"Benzene"	"true"
"restart"	"Ethylbutanoate"	"true"
"restart"	"Methane"	"true"
"select.compound"	"Benzene"	"false"
"select.compound"	"Methane"	"false"
"select.compound"	"Ethylmethylether"	"false"
"select.compound"	"Ethanol"	"false"
"select.compound"	"Hex-2-yne"	"false"
"select.compound"	"Ethylbutanoate"	"false"
"select.functional_group"	"-COC-"	"false"
"select.functional_group"	"-OH"	"false"
"select.functional_group"	"-C=O"	"false"
"select.functional_group"	"Ethers"	"false"
"select.functional_group"	"-COOC-"	"false"
"select.functional_group"	"Hydrocarbons"	"false"
"select.functional_group"	"-CH=O"	"false"
"select.functional_group"	"Alcohols"	"false"
"select.functional_group"	"Aromatic Hydrocarbons"	"false"
"select.functional_group"	"Esters"	"false"
"select.functional_group"	"-COOH"	"false"
"select.functional_group"	"-C&#8801;N"	"false"
"select.mol_structure"	"Ethylmethylether"	"false"
"select.mol_structure"	"Methane"	"true"
"select.mol_structure"	"Ethanol"	"true"
"select.mol_structure"	"Benzene"	"true"
"select.mol_structure"	"Hex-2-yne"	"false"
"select.mol_structure"	"Ethylbutanoate"	"false"
"select.mol_structure"	"Methanol"	"false"
"select.mol_structure"	"Benzene"	"false"
"select.molecule"	"none"	NA
"select.molecule"	"none"	"true"
"start"	"stage_2"	NA
"start"	"stage_2"	"Methane"
"start"	"stage_3"	"Methane"
"start"	"stage_3"	"Ethanol"
"start"	"stage_2"	"Benzene"
"start"	"stage_4"	"Ethylmethylether"
"start"	"stage_4"	"Ethanol"
"start"	"stage_4"	"Methane"
"start"	"stage_2"	"Ethylmethylether"
"start"	"stage_3"	"Ethylmethylether"
"start"	"stage_2"	"Ethanol"
"start"	"stage_3"	"Benzene"
"start"	"stage_4"	"Benzene"
"start"	"stage_2"	"Ethylbutanoate"
"start"	"stage_3"	"Ethylbutanoate"
"start"	"stage_3"	"Hex-2-yne"
"start"	"stage_4"	"Ethylbutanoate"
"start"	"stage_2"	"Hex-2-yne"
"start"	"stage_4"	"Hex-2-yne"
"start"	"stage_3"	"Methanol"
"start"	"stage_4"	"Methanol"
"start"	"stage_2"	"Methanol"
